2017-07-21 14:51:56 startup packages purge
2017-07-21 14:51:56 status installed linux-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:56 remove linux-virtual:amd64 4.4.0.83.89 <none>
2017-07-21 14:51:56 status half-configured linux-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:56 status half-installed linux-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:56 status config-files linux-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:56 status config-files linux-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:56 status config-files linux-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:56 status not-installed linux-virtual:amd64 <none>
2017-07-21 14:51:56 status installed linux-headers-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:56 remove linux-headers-virtual:amd64 4.4.0.83.89 <none>
2017-07-21 14:51:56 status half-configured linux-headers-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:56 status half-installed linux-headers-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:56 status config-files linux-headers-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:56 status config-files linux-headers-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:56 status config-files linux-headers-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:56 status not-installed linux-headers-virtual:amd64 <none>
2017-07-21 14:51:56 status installed linux-headers-generic:amd64 4.4.0.83.89
2017-07-21 14:51:56 remove linux-headers-generic:amd64 4.4.0.83.89 <none>
2017-07-21 14:51:56 status half-configured linux-headers-generic:amd64 4.4.0.83.89
2017-07-21 14:51:56 status half-installed linux-headers-generic:amd64 4.4.0.83.89
2017-07-21 14:51:56 status config-files linux-headers-generic:amd64 4.4.0.83.89
2017-07-21 14:51:56 status config-files linux-headers-generic:amd64 4.4.0.83.89
2017-07-21 14:51:56 status config-files linux-headers-generic:amd64 4.4.0.83.89
2017-07-21 14:51:56 status not-installed linux-headers-generic:amd64 <none>
2017-07-21 14:51:56 status installed linux-headers-4.4.0-83-generic:amd64 4.4.0-83.106
2017-07-21 14:51:56 remove linux-headers-4.4.0-83-generic:amd64 4.4.0-83.106 <none>
2017-07-21 14:51:56 status half-configured linux-headers-4.4.0-83-generic:amd64 4.4.0-83.106
2017-07-21 14:51:56 status half-installed linux-headers-4.4.0-83-generic:amd64 4.4.0-83.106
2017-07-21 14:51:56 status config-files linux-headers-4.4.0-83-generic:amd64 4.4.0-83.106
2017-07-21 14:51:56 status config-files linux-headers-4.4.0-83-generic:amd64 4.4.0-83.106
2017-07-21 14:51:56 status config-files linux-headers-4.4.0-83-generic:amd64 4.4.0-83.106
2017-07-21 14:51:56 status not-installed linux-headers-4.4.0-83-generic:amd64 <none>
2017-07-21 14:51:56 status installed linux-headers-4.4.0-83:all 4.4.0-83.106
2017-07-21 14:51:56 remove linux-headers-4.4.0-83:all 4.4.0-83.106 <none>
2017-07-21 14:51:56 status half-configured linux-headers-4.4.0-83:all 4.4.0-83.106
2017-07-21 14:51:56 status half-installed linux-headers-4.4.0-83:all 4.4.0-83.106
2017-07-21 14:51:57 status config-files linux-headers-4.4.0-83:all 4.4.0-83.106
2017-07-21 14:51:57 status config-files linux-headers-4.4.0-83:all 4.4.0-83.106
2017-07-21 14:51:57 status config-files linux-headers-4.4.0-83:all 4.4.0-83.106
2017-07-21 14:51:57 status not-installed linux-headers-4.4.0-83:all <none>
2017-07-21 14:51:57 status installed linux-image-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:57 remove linux-image-virtual:amd64 4.4.0.83.89 <none>
2017-07-21 14:51:57 status half-configured linux-image-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:57 status half-installed linux-image-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:57 status config-files linux-image-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:57 status config-files linux-image-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:57 status config-files linux-image-virtual:amd64 4.4.0.83.89
2017-07-21 14:51:57 status not-installed linux-image-virtual:amd64 <none>
2017-07-21 14:51:57 status installed linux-image-4.4.0-83-generic:amd64 4.4.0-83.106
2017-07-21 14:51:57 remove linux-image-4.4.0-83-generic:amd64 4.4.0-83.106 <none>
2017-07-21 14:51:57 status half-configured linux-image-4.4.0-83-generic:amd64 4.4.0-83.106
2017-07-21 14:51:57 status half-installed linux-image-4.4.0-83-generic:amd64 4.4.0-83.106
2017-07-21 14:51:58 status config-files linux-image-4.4.0-83-generic:amd64 4.4.0-83.106
2017-07-21 14:51:58 purge linux-image-4.4.0-83-generic:amd64 4.4.0-83.106 <none>
2017-07-21 14:51:58 status config-files linux-image-4.4.0-83-generic:amd64 4.4.0-83.106
2017-07-21 14:51:58 status config-files linux-image-4.4.0-83-generic:amd64 4.4.0-83.106
2017-07-21 14:51:58 status config-files linux-image-4.4.0-83-generic:amd64 4.4.0-83.106
2017-07-21 14:51:58 status config-files linux-image-4.4.0-83-generic:amd64 4.4.0-83.106
2017-07-21 14:51:58 status config-files linux-image-4.4.0-83-generic:amd64 4.4.0-83.106
2017-07-21 14:51:58 status not-installed linux-image-4.4.0-83-generic:amd64 <none>
2017-07-21 14:51:58 startup packages configure
2017-07-21 14:52:04 startup archives unpack
2017-07-21 14:52:04 install linux-image-4.4.0-1022-aws:amd64 <none> 4.4.0-1022.31
2017-07-21 14:52:04 status half-installed linux-image-4.4.0-1022-aws:amd64 4.4.0-1022.31
2017-07-21 14:52:07 status unpacked linux-image-4.4.0-1022-aws:amd64 4.4.0-1022.31
2017-07-21 14:52:07 status unpacked linux-image-4.4.0-1022-aws:amd64 4.4.0-1022.31
2017-07-21 14:52:07 install linux-image-aws:amd64 <none> 4.4.0.1022.25
2017-07-21 14:52:07 status half-installed linux-image-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:07 status unpacked linux-image-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:07 status unpacked linux-image-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:07 install linux-aws-headers-4.4.0-1022:all <none> 4.4.0-1022.31
2017-07-21 14:52:07 status half-installed linux-aws-headers-4.4.0-1022:all 4.4.0-1022.31
2017-07-21 14:52:11 status unpacked linux-aws-headers-4.4.0-1022:all 4.4.0-1022.31
2017-07-21 14:52:11 status unpacked linux-aws-headers-4.4.0-1022:all 4.4.0-1022.31
2017-07-21 14:52:11 install linux-headers-4.4.0-1022-aws:amd64 <none> 4.4.0-1022.31
2017-07-21 14:52:11 status half-installed linux-headers-4.4.0-1022-aws:amd64 4.4.0-1022.31
2017-07-21 14:52:12 status unpacked linux-headers-4.4.0-1022-aws:amd64 4.4.0-1022.31
2017-07-21 14:52:12 status unpacked linux-headers-4.4.0-1022-aws:amd64 4.4.0-1022.31
2017-07-21 14:52:12 install linux-headers-aws:amd64 <none> 4.4.0.1022.25
2017-07-21 14:52:12 status half-installed linux-headers-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:12 status unpacked linux-headers-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:12 status unpacked linux-headers-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:12 install linux-aws:amd64 <none> 4.4.0.1022.25
2017-07-21 14:52:12 status half-installed linux-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:12 status unpacked linux-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:12 status unpacked linux-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:12 startup packages configure
2017-07-21 14:52:12 configure linux-image-4.4.0-1022-aws:amd64 4.4.0-1022.31 <none>
2017-07-21 14:52:12 status unpacked linux-image-4.4.0-1022-aws:amd64 4.4.0-1022.31
2017-07-21 14:52:12 status half-configured linux-image-4.4.0-1022-aws:amd64 4.4.0-1022.31
2017-07-21 14:52:19 status installed linux-image-4.4.0-1022-aws:amd64 4.4.0-1022.31
2017-07-21 14:52:19 configure linux-image-aws:amd64 4.4.0.1022.25 <none>
2017-07-21 14:52:19 status unpacked linux-image-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:19 status half-configured linux-image-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:19 status installed linux-image-aws:amd64 4.4.0.1022.25
2017-07-21 14:52:19 configure linux-aws-headers-4.4.0-1022:all 4.4.0-1022.31 <none>
2017-07-21 14:52:19 status unpacked linux-aws-headers-4.4.0-1022:all 4.4.0-1022.31
2017-07-21 14:52:19 status half-configured linux-aws-headers-4.4.0-1022:all 4.4.0-1022.31
2017-07-21 14:52:19 status installed linux-aws-headers-4.4.0-1022:all 4.4.0-1022.31
2017-07-21 14:52:19 configure linux-headers-4.4.0-1022-aws:amd64 4.4.0-1022.31 <none>
2017-07-21 14:52:19 status unpacked linux-headers-4.4.0-1022-aws:amd64 4.4.0-1022.31
2017-07-21 14:52:19 status half-configured linux-headers-4.4.0-1022-aws:amd64 4.4.0-1022.31
2017-07-21 14:52:19 status installed linux-headers-4.4.0-1022-aws:amd64 4.4.0-1022.31
